State,Age,UrbanRural,LiteracyRate
NATIONAL,7,Rural,70.82%
NATIONAL,7,Urban,78.24%
NATIONAL,8,Rural,83.47%
NATIONAL,8,Urban,88.29%
NATIONAL,9,Rural,88.51%
NATIONAL,9,Urban,91.68%
NATIONAL,10,Rural,87.90%
NATIONAL,10,Urban,90.98%
NATIONAL,11,Rural,91.30%
NATIONAL,11,Urban,93.69%
NATIONAL,12,Rural,90.70%
NATIONAL,12,Urban,93.45%
NATIONAL,13,Rural,91.84%
NATIONAL,13,Urban,94.35%
NATIONAL,14,Rural,90.88%
NATIONAL,14,Urban,93.74%
NATIONAL,15,Rural,88.85%
NATIONAL,15,Urban,92.80%
NATIONAL,16,Rural,88.56%
NATIONAL,16,Urban,92.75%
NATIONAL,17,Rural,89.04%
NATIONAL,17,Urban,93.29%
NATIONAL,18,Rural,84.74%
NATIONAL,18,Urban,91.14%
NATIONAL,19,Rural,85.28%
NATIONAL,19,Urban,92.31%
NATIONAL,20,Rural,79.91%
NATIONAL,20,Urban,89.22%
NATIONAL,21,Rural,82.80%
NATIONAL,21,Urban,91.92%
NATIONAL,22,Rural,79.12%
NATIONAL,22,Urban,89.85%
NATIONAL,23,Rural,78.62%
NATIONAL,23,Urban,91.21%
NATIONAL,24,Rural,77.29%
NATIONAL,24,Urban,90.32%
NATIONAL,25,Rural,71.70%
NATIONAL,25,Urban,85.75%
NATIONAL,26,Rural,74.39%
NATIONAL,26,Urban,89.29%
NATIONAL,27,Rural,74.95%
NATIONAL,27,Urban,90.20%
NATIONAL,28,Rural,68.85%
NATIONAL,28,Urban,87.45%
NATIONAL,29,Rural,71.59%
NATIONAL,29,Urban,89.04%
NATIONAL,30,Rural,64.00%
NATIONAL,30,Urban,81.79%
NATIONAL,31,Rural,69.81%
NATIONAL,31,Urban,88.59%
NATIONAL,32,Rural,65.56%
NATIONAL,32,Urban,86.40%
NATIONAL,33,Rural,65.55%
NATIONAL,33,Urban,88.33%
NATIONAL,34,Rural,65.18%
NATIONAL,34,Urban,86.79%
NATIONAL,35,Rural,58.66%
NATIONAL,35,Urban,77.76%
NATIONAL,36,Rural,62.02%
NATIONAL,36,Urban,84.06%
NATIONAL,37,Rural,63.14%
NATIONAL,37,Urban,86.41%
NATIONAL,38,Rural,56.64%
NATIONAL,38,Urban,82.74%
NATIONAL,39,Rural,59.47%
NATIONAL,39,Urban,83.83%
NATIONAL,40,Rural,51.59%
NATIONAL,40,Urban,73.31%
NATIONAL,41,Rural,58.19%
NATIONAL,41,Urban,83.18%
NATIONAL,42,Rural,55.68%
NATIONAL,42,Urban,82.87%
NATIONAL,43,Rural,55.23%
NATIONAL,43,Urban,85.05%
NATIONAL,44,Rural,54.93%
NATIONAL,44,Urban,82.38%
NATIONAL,45,Rural,47.71%
NATIONAL,45,Urban,71.24%
NATIONAL,46,Rural,52.92%
NATIONAL,46,Urban,80.74%
NATIONAL,47,Rural,54.92%
NATIONAL,47,Urban,84.50%
NATIONAL,48,Rural,48.63%
NATIONAL,48,Urban,80.36%
NATIONAL,49,Rural,51.51%
NATIONAL,49,Urban,80.99%
NATIONAL,50,Rural,42.79%
NATIONAL,50,Urban,68.14%
NATIONAL,51,Rural,50.71%
NATIONAL,51,Urban,80.12%
NATIONAL,52,Rural,51.18%
NATIONAL,52,Urban,82.68%
NATIONAL,53,Rural,51.93%
NATIONAL,53,Urban,85.39%
NATIONAL,54,Rural,50.91%
NATIONAL,54,Urban,82.17%
NATIONAL,55,Rural,41.12%
NATIONAL,55,Urban,68.15%
NATIONAL,56,Rural,48.04%
NATIONAL,56,Urban,79.28%
NATIONAL,57,Rural,50.51%
NATIONAL,57,Urban,84.28%
NATIONAL,58,Rural,43.13%
NATIONAL,58,Urban,80.50%
