State,Age,Sex,LiteracyRate
ANDAMAN & NICOBAR ISLANDS,7,Female,84.02%
ANDAMAN & NICOBAR ISLANDS,7,Male,83.01%
ANDAMAN & NICOBAR ISLANDS,8,Female,94.91%
ANDAMAN & NICOBAR ISLANDS,8,Male,94.86%
ANDAMAN & NICOBAR ISLANDS,9,Female,95.01%
ANDAMAN & NICOBAR ISLANDS,9,Male,95.62%
ANDAMAN & NICOBAR ISLANDS,10,Female,96.28%
ANDAMAN & NICOBAR ISLANDS,10,Male,95.73%
ANDAMAN & NICOBAR ISLANDS,11,Female,97.63%
ANDAMAN & NICOBAR ISLANDS,11,Male,96.95%
ANDAMAN & NICOBAR ISLANDS,12,Female,98.51%
ANDAMAN & NICOBAR ISLANDS,12,Male,98.93%
ANDAMAN & NICOBAR ISLANDS,13,Female,98.56%
ANDAMAN & NICOBAR ISLANDS,13,Male,98.87%
ANDAMAN & NICOBAR ISLANDS,14,Female,98.60%
ANDAMAN & NICOBAR ISLANDS,14,Male,98.70%
ANDAMAN & NICOBAR ISLANDS,15,Female,98.12%
ANDAMAN & NICOBAR ISLANDS,15,Male,98.45%
ANDAMAN & NICOBAR ISLANDS,16,Female,98.42%
ANDAMAN & NICOBAR ISLANDS,16,Male,98.59%
ANDAMAN & NICOBAR ISLANDS,17,Female,97.90%
ANDAMAN & NICOBAR ISLANDS,17,Male,98.68%
ANDAMAN & NICOBAR ISLANDS,18,Female,97.17%
ANDAMAN & NICOBAR ISLANDS,18,Male,97.52%
ANDAMAN & NICOBAR ISLANDS,19,Female,97.37%
ANDAMAN & NICOBAR ISLANDS,19,Male,96.83%
ANDAMAN & NICOBAR ISLANDS,20,Female,95.21%
ANDAMAN & NICOBAR ISLANDS,20,Male,96.24%
ANDAMAN & NICOBAR ISLANDS,21,Female,95.82%
ANDAMAN & NICOBAR ISLANDS,21,Male,96.61%
ANDAMAN & NICOBAR ISLANDS,22,Female,94.66%
ANDAMAN & NICOBAR ISLANDS,22,Male,96.48%
ANDAMAN & NICOBAR ISLANDS,23,Female,94.64%
ANDAMAN & NICOBAR ISLANDS,23,Male,96.33%
ANDAMAN & NICOBAR ISLANDS,24,Female,93.81%
ANDAMAN & NICOBAR ISLANDS,24,Male,95.58%
ANDAMAN & NICOBAR ISLANDS,25,Female,90.98%
ANDAMAN & NICOBAR ISLANDS,25,Male,94.91%
ANDAMAN & NICOBAR ISLANDS,26,Female,93.57%
ANDAMAN & NICOBAR ISLANDS,26,Male,95.23%
ANDAMAN & NICOBAR ISLANDS,27,Female,92.87%
ANDAMAN & NICOBAR ISLANDS,27,Male,95.59%
ANDAMAN & NICOBAR ISLANDS,28,Female,91.86%
ANDAMAN & NICOBAR ISLANDS,28,Male,94.86%
ANDAMAN & NICOBAR ISLANDS,29,Female,90.33%
ANDAMAN & NICOBAR ISLANDS,29,Male,95.88%
ANDAMAN & NICOBAR ISLANDS,30,Female,86.60%
ANDAMAN & NICOBAR ISLANDS,30,Male,93.10%
ANDAMAN & NICOBAR ISLANDS,31,Female,91.64%
ANDAMAN & NICOBAR ISLANDS,31,Male,94.55%
ANDAMAN & NICOBAR ISLANDS,32,Female,89.97%
ANDAMAN & NICOBAR ISLANDS,32,Male,94.41%
ANDAMAN & NICOBAR ISLANDS,33,Female,91.42%
ANDAMAN & NICOBAR ISLANDS,33,Male,94.68%
ANDAMAN & NICOBAR ISLANDS,34,Female,89.85%
ANDAMAN & NICOBAR ISLANDS,34,Male,95.00%
ANDAMAN & NICOBAR ISLANDS,35,Female,81.54%
ANDAMAN & NICOBAR ISLANDS,35,Male,89.63%
ANDAMAN & NICOBAR ISLANDS,36,Female,85.25%
ANDAMAN & NICOBAR ISLANDS,36,Male,92.49%
ANDAMAN & NICOBAR ISLANDS,37,Female,86.94%
ANDAMAN & NICOBAR ISLANDS,37,Male,93.59%
ANDAMAN & NICOBAR ISLANDS,38,Female,80.93%
ANDAMAN & NICOBAR ISLANDS,38,Male,92.39%
ANDAMAN & NICOBAR ISLANDS,39,Female,82.28%
ANDAMAN & NICOBAR ISLANDS,39,Male,90.46%
ANDAMAN & NICOBAR ISLANDS,40,Female,69.86%
ANDAMAN & NICOBAR ISLANDS,40,Male,83.94%
ANDAMAN & NICOBAR ISLANDS,41,Female,80.29%
ANDAMAN & NICOBAR ISLANDS,41,Male,90.20%
ANDAMAN & NICOBAR ISLANDS,42,Female,75.58%
ANDAMAN & NICOBAR ISLANDS,42,Male,89.23%
ANDAMAN & NICOBAR ISLANDS,43,Female,75.85%
ANDAMAN & NICOBAR ISLANDS,43,Male,89.50%
ANDAMAN & NICOBAR ISLANDS,44,Female,74.27%
ANDAMAN & NICOBAR ISLANDS,44,Male,88.19%
ANDAMAN & NICOBAR ISLANDS,45,Female,63.47%
ANDAMAN & NICOBAR ISLANDS,45,Male,80.94%
ANDAMAN & NICOBAR ISLANDS,46,Female,70.20%
ANDAMAN & NICOBAR ISLANDS,46,Male,87.43%
ANDAMAN & NICOBAR ISLANDS,47,Female,70.61%
ANDAMAN & NICOBAR ISLANDS,47,Male,87.38%
ANDAMAN & NICOBAR ISLANDS,48,Female,67.00%
ANDAMAN & NICOBAR ISLANDS,48,Male,84.67%
ANDAMAN & NICOBAR ISLANDS,49,Female,65.02%
ANDAMAN & NICOBAR ISLANDS,49,Male,85.32%
ANDAMAN & NICOBAR ISLANDS,50,Female,55.18%
ANDAMAN & NICOBAR ISLANDS,50,Male,75.43%
ANDAMAN & NICOBAR ISLANDS,51,Female,63.92%
ANDAMAN & NICOBAR ISLANDS,51,Male,84.01%
ANDAMAN & NICOBAR ISLANDS,52,Female,63.56%
ANDAMAN & NICOBAR ISLANDS,52,Male,84.16%
ANDAMAN & NICOBAR ISLANDS,53,Female,65.66%
ANDAMAN & NICOBAR ISLANDS,53,Male,85.71%
ANDAMAN & NICOBAR ISLANDS,54,Female,61.33%
ANDAMAN & NICOBAR ISLANDS,54,Male,83.88%
ANDAMAN & NICOBAR ISLANDS,55,Female,52.85%
ANDAMAN & NICOBAR ISLANDS,55,Male,75.27%
ANDAMAN & NICOBAR ISLANDS,56,Female,54.64%
ANDAMAN & NICOBAR ISLANDS,56,Male,81.59%
ANDAMAN & NICOBAR ISLANDS,57,Female,58.35%
ANDAMAN & NICOBAR ISLANDS,57,Male,82.12%
ANDAMAN & NICOBAR ISLANDS,58,Female,54.62%
ANDAMAN & NICOBAR ISLANDS,58,Male,80.31%
ANDAMAN & NICOBAR ISLANDS,59,Female,53.15%
ANDAMAN & NICOBAR ISLANDS,59,Male,76.99%
ANDAMAN & NICOBAR ISLANDS,60,Female,37.90%
ANDAMAN & NICOBAR ISLANDS,60,Male,68.50%
ANDAMAN & NICOBAR ISLANDS,61,Female,44.53%
ANDAMAN & NICOBAR ISLANDS,61,Male,72.82%
ANDAMAN & NICOBAR ISLANDS,62,Female,48.66%
ANDAMAN & NICOBAR ISLANDS,62,Male,73.70%
ANDAMAN & NICOBAR ISLANDS,63,Female,49.38%
ANDAMAN & NICOBAR ISLANDS,63,Male,78.43%
ANDAMAN & NICOBAR ISLANDS,64,Female,39.58%
ANDAMAN & NICOBAR ISLANDS,64,Male,69.97%
ANDAMAN & NICOBAR ISLANDS,65,Female,33.54%
ANDAMAN & NICOBAR ISLANDS,65,Male,64.64%
ANDAMAN & NICOBAR ISLANDS,66,Female,43.66%
ANDAMAN & NICOBAR ISLANDS,66,Male,69.19%
ANDAMAN & NICOBAR ISLANDS,67,Female,45.00%
ANDAMAN & NICOBAR ISLANDS,67,Male,73.47%
ANDAMAN & NICOBAR ISLANDS,68,Female,41.71%
ANDAMAN & NICOBAR ISLANDS,68,Male,73.44%
ANDAMAN & NICOBAR ISLANDS,69,Female,35.91%
ANDAMAN & NICOBAR ISLANDS,69,Male,65.29%
ANDAMAN & NICOBAR ISLANDS,70,Female,25.57%
ANDAMAN & NICOBAR ISLANDS,70,Male,59.64%
ANDAMAN & NICOBAR ISLANDS,71,Female,31.34%
ANDAMAN & NICOBAR ISLANDS,71,Male,69.29%
ANDAMAN & NICOBAR ISLANDS,72,Female,40.83%
ANDAMAN & NICOBAR ISLANDS,72,Male,72.39%
ANDAMAN & NICOBAR ISLANDS,73,Female,42.00%
ANDAMAN & NICOBAR ISLANDS,73,Male,75.20%
ANDAMAN & NICOBAR ISLANDS,74,Female,31.18%
ANDAMAN & NICOBAR ISLANDS,74,Male,69.82%
ANDAMAN & NICOBAR ISLANDS,75,Female,27.02%
ANDAMAN & NICOBAR ISLANDS,75,Male,63.28%
ANDAMAN & NICOBAR ISLANDS,76,Female,38.10%
ANDAMAN & NICOBAR ISLANDS,76,Male,66.22%
ANDAMAN & NICOBAR ISLANDS,77,Female,34.86%
ANDAMAN & NICOBAR ISLANDS,77,Male,66.67%
ANDAMAN & NICOBAR ISLANDS,78,Female,37.01%
ANDAMAN & NICOBAR ISLANDS,78,Male,66.84%
ANDAMAN & NICOBAR ISLANDS,79,Female,26.88%
ANDAMAN & NICOBAR ISLANDS,79,Male,63.41%
ANDAMAN & NICOBAR ISLANDS,80,Female,18.68%
ANDAMAN & NICOBAR ISLANDS,80,Male,54.83%
ANDAMAN & NICOBAR ISLANDS,81,Female,26.05%
ANDAMAN & NICOBAR ISLANDS,81,Male,57.75%
ANDAMAN & NICOBAR ISLANDS,82,Female,33.90%
ANDAMAN & NICOBAR ISLANDS,82,Male,64.04%
ANDAMAN & NICOBAR ISLANDS,83,Female,42.11%
ANDAMAN & NICOBAR ISLANDS,83,Male,61.40%
ANDAMAN & NICOBAR ISLANDS,84,Female,28.89%
ANDAMAN & NICOBAR ISLANDS,84,Male,59.15%
ANDAMAN & NICOBAR ISLANDS,85,Female,26.52%
ANDAMAN & NICOBAR ISLANDS,85,Male,46.76%
ANDAMAN & NICOBAR ISLANDS,86,Female,37.70%
ANDAMAN & NICOBAR ISLANDS,86,Male,71.83%
ANDAMAN & NICOBAR ISLANDS,87,Female,24.14%
ANDAMAN & NICOBAR ISLANDS,87,Male,70.83%
ANDAMAN & NICOBAR ISLANDS,88,Female,33.33%
ANDAMAN & NICOBAR ISLANDS,88,Male,68.75%
ANDAMAN & NICOBAR ISLANDS,89,Female,26.67%
ANDAMAN & NICOBAR ISLANDS,89,Male,61.54%
ANDAMAN & NICOBAR ISLANDS,90,Female,22.41%
ANDAMAN & NICOBAR ISLANDS,90,Male,60.34%
ANDAMAN & NICOBAR ISLANDS,91,Female,28.13%
ANDAMAN & NICOBAR ISLANDS,91,Male,86.21%
ANDAMAN & NICOBAR ISLANDS,92,Female,36.00%
